
# Datos nUm. 1
#     x' 	 S(x')
  -5.20750 	2.81000
  -5.20500 	2.79498
  -5.20250 	2.78637
  -5.20000 	2.78208
  -5.19750 	2.78000
  -5.19125 	2.78000
  -5.18250 	2.77485
  -5.17375 	2.77091
  -5.16500 	2.76796
  -5.15625 	2.76578
  -5.14750 	2.76412
  -5.13875 	2.76275
  -5.13000 	2.76146
  -5.12125 	2.76000
  -5.12000 	2.76000
  -5.11000 	2.75794
  -5.10000 	2.75563
  -5.09000 	2.75334
  -5.08000 	2.75133
  -5.07000 	2.74986
  -5.06000 	2.74921
  -5.05000 	2.74963
  -5.04000 	2.75139
  -5.03000 	2.75476
  -5.02375 	2.76000
  -5.01750 	2.76445
  -5.01125 	2.77046
  -5.00500 	2.77873
  -4.99875 	2.79000


# Datos nUm. 2
#    x'		       y'		  x	       y
  -5.210	     2.810	        2.810	     5.210
  -5.200	     2.780	        2.780	     5.200
  -5.130	     2.760	        2.760	     5.130
  -5.030	     2.760	        2.760	     5.030
  -5.005	     2.790	        2.790	     5.005
