
# Datos nUm. 1
#     x' 	 S(x')
  -0.80889 	2.62000
  -0.80778 	2.63987
  -0.80667 	2.65548
  -0.80556 	2.66748
  -0.80444 	2.67651
  -0.80333 	2.68323
  -0.80222 	2.68829
  -0.80111 	2.69234
  -0.80000 	2.69602
  -0.79889 	2.70000
  -0.79903 	2.70000
  -0.79806 	2.70413
  -0.79710 	2.70894
  -0.79613 	2.71439
  -0.79516 	2.72047
  -0.79419 	2.72713
  -0.79323 	2.73434
  -0.79226 	2.74207
  -0.79129 	2.75028
  -0.79032 	2.75896
  -0.78935 	2.76805
  -0.78839 	2.77754
  -0.78742 	2.78739
  -0.78645 	2.79757
  -0.78548 	2.80804
  -0.78452 	2.81877
  -0.78355 	2.82973
  -0.78258 	2.84089
  -0.78161 	2.85222
  -0.78065 	2.86368
  -0.77968 	2.87525
  -0.77871 	2.88688
  -0.77774 	2.89855
  -0.77677 	2.91023
  -0.77581 	2.92188
  -0.77484 	2.93348
  -0.77387 	2.94498
  -0.77290 	2.95636
  -0.77194 	2.96758
  -0.77097 	2.97862
  -0.77000 	2.98943
  -0.76903 	3.00000
  -0.76840 	3.00000
  -0.76680 	3.01686
  -0.76520 	3.03296
  -0.76360 	3.04833
  -0.76200 	3.06298
  -0.76040 	3.07693
  -0.75880 	3.09021
  -0.75720 	3.10283
  -0.75560 	3.11481
  -0.75400 	3.12617
  -0.75240 	3.13694
  -0.75080 	3.14713
  -0.74920 	3.15675
  -0.74760 	3.16584
  -0.74600 	3.17441
  -0.74440 	3.18248
  -0.74280 	3.19007
  -0.74120 	3.19720
  -0.73960 	3.20388
  -0.73800 	3.21015
  -0.73640 	3.21601
  -0.73480 	3.22150
  -0.73320 	3.22662
  -0.73160 	3.23139
  -0.73000 	3.23585
  -0.72571 	3.24000
  -0.72143 	3.24982
  -0.71714 	3.25821
  -0.71286 	3.26578
  -0.70857 	3.27314
  -0.70429 	3.28089
  -0.70000 	3.28964
  -0.69571 	3.30000
  -0.69714 	3.30000
  -0.69429 	3.30802
  -0.69143 	3.31672
  -0.68857 	3.32581
  -0.68571 	3.33498
  -0.68286 	3.34393
  -0.68000 	3.35237
  -0.67500 	3.36000
  -0.67000 	3.37088
  -0.66500 	3.37908
  -0.66000 	3.38536
  -0.65500 	3.39044
  -0.65000 	3.39508
  -0.64500 	3.40000
  -0.64444 	3.40000
  -0.63889 	3.40650
  -0.63333 	3.41398
  -0.62778 	3.42216
  -0.62222 	3.43077
  -0.61667 	3.43950
  -0.61111 	3.44807
  -0.60556 	3.45620
  -0.60000 	3.46361
  -0.59200 	3.47000
  -0.58400 	3.47709
  -0.57600 	3.48206
  -0.56800 	3.48548
  -0.56000 	3.48794
  -0.55100 	3.49000
  -0.54200 	3.49242
  -0.53300 	3.49505
  -0.52400 	3.49784
  -0.51500 	3.50079
  -0.50600 	3.50385
  -0.49700 	3.50701
  -0.48800 	3.51023
  -0.47900 	3.51348
  -0.47000 	3.51675
  -0.46071 	3.52000
  -0.45143 	3.52331
  -0.44214 	3.52654
  -0.43286 	3.52967
  -0.42357 	3.53268
  -0.41429 	3.53553
  -0.40500 	3.53820
  -0.39571 	3.54067
  -0.38643 	3.54291
  -0.37714 	3.54489
  -0.36786 	3.54658
  -0.35857 	3.54797
  -0.34929 	3.54902
  -0.34000 	3.54970


# Datos nUm. 2
#    x'		       y'		  x	       y
  -0.810	     2.620	        2.620	     0.810
  -0.800	     2.700	        2.700	     0.800
  -0.770	     3.000	        3.000	     0.770
  -0.730	     3.240	        3.240	     0.730
  -0.700	     3.300	        3.300	     0.700
  -0.680	     3.360	        3.360	     0.680
  -0.650	     3.400	        3.400	     0.650
  -0.600	     3.470	        3.470	     0.600
  -0.560	     3.490	        3.490	     0.560
  -0.470	     3.520	        3.520	     0.470
  -0.340	     3.550	        3.550	     0.340
