
# Datos nUm. 1
#     x' 	 S(x')
  -5.25250 	2.45000
  -5.24500 	2.45511
  -5.23750 	2.46029
  -5.23000 	2.46533
  -5.22000 	2.47000
  -5.21000 	2.47540
  -5.20000 	2.47983
  -5.19000 	2.48336
  -5.18000 	2.48605
  -5.17000 	2.48797
  -5.16000 	2.48917
  -5.15000 	2.48971
  -5.14000 	2.48966
  -5.13000 	2.48908
  -5.12000 	2.48802
  -5.11000 	2.48656
  -5.10000 	2.48475
  -5.09000 	2.48265
  -5.08000 	2.48032
  -5.07000 	2.47783
  -5.06000 	2.47524
  -5.05000 	2.47261
  -5.04200 	2.47000
  -5.03400 	2.46780
  -5.02600 	2.46467
  -5.01800 	2.45965
  -5.01000 	2.45175
  -5.00200 	2.44000


# Datos nUm. 2
#    x'		       y'		  x	       y
  -5.260	     2.450	        2.450	     5.260
  -5.230	     2.470	        2.470	     5.230
  -5.050	     2.470	        2.470	     5.050
  -5.010	     2.440	        2.440	     5.010
