
# Datos nUm. 1
#     x' 	 S(x')
  -0.64125 	3.75000
  -0.63250 	3.75844
  -0.62375 	3.76626
  -0.61500 	3.77349
  -0.60625 	3.78014
  -0.59750 	3.78622
  -0.58875 	3.79175
  -0.58000 	3.79674
  -0.57125 	3.80121
  -0.56250 	3.80517
  -0.55375 	3.80864
  -0.54500 	3.81164
  -0.53625 	3.81417
  -0.52750 	3.81626
  -0.51875 	3.81792
  -0.51000 	3.81916
  -0.50067 	3.82000
  -0.49133 	3.82048
  -0.48200 	3.82057
  -0.47267 	3.82033
  -0.46333 	3.81980
  -0.45400 	3.81904
  -0.44467 	3.81810
  -0.43533 	3.81704
  -0.42600 	3.81589
  -0.41667 	3.81472
  -0.40733 	3.81357
  -0.39800 	3.81249
  -0.38867 	3.81155
  -0.37933 	3.81079
  -0.37000 	3.81025


# Datos nUm. 2
#    x'		       y'		  x	       y
  -0.650	     3.750	        3.750	     0.650
  -0.510	     3.820	        3.820	     0.510
  -0.370	     3.810	        3.810	     0.370
