
# Datos nUm. 1
#     x' 	 S(x')
  -4.08100 	3.16000
  -4.07200 	3.16780
  -4.06300 	3.17351
  -4.05400 	3.17736
  -4.04500 	3.17955
  -4.03600 	3.18030
  -4.02700 	3.17983
  -4.01800 	3.17835
  -4.00900 	3.17608
  -4.00000 	3.17322
  -3.99100 	3.17000
  -3.99167 	3.17000
  -3.98333 	3.16685
  -3.97500 	3.16355
  -3.96667 	3.16010
  -3.95833 	3.15648
  -3.95000 	3.15269
  -3.94167 	3.14870
  -3.93333 	3.14450
  -3.92500 	3.14009
  -3.91667 	3.13544
  -3.90833 	3.13055
  -3.90000 	3.12541
  -3.89167 	3.12000
  -3.89250 	3.12000
  -3.88500 	3.11491
  -3.87750 	3.10967
  -3.87000 	3.10437
  -3.86250 	3.09911
  -3.85500 	3.09395
  -3.84750 	3.08899
  -3.84000 	3.08431
  -3.83250 	3.08000
  -3.83200 	3.08000
  -3.82400 	3.07585
  -3.81600 	3.07199
  -3.80800 	3.06821
  -3.80000 	3.06428
  -3.79200 	3.06000
  -3.79400 	3.06000
  -3.78800 	3.05636
  -3.78200 	3.05197
  -3.77600 	3.04640
  -3.77000 	3.03922
  -3.76600 	3.03000
  -3.76200 	3.02260
  -3.75800 	3.01450
  -3.75400 	3.00610
  -3.75000 	2.99780
  -3.74600 	2.99000
  -3.74500 	2.99000
  -3.74000 	2.98137
  -3.73500 	2.97375
  -3.73000 	2.96675
  -3.72500 	2.96000
  -3.72000 	2.95313
  -3.71500 	2.94595
  -3.71000 	2.93829
  -3.70500 	2.93000
  -3.70000 	2.92205
  -3.69500 	2.92000
  -3.69000 	2.92425
  -3.68500 	2.91000
  -3.68925 	2.91000
  -3.68850 	2.90435
  -3.68775 	2.89751
  -3.68700 	2.88942
  -3.68650 	2.88000
  -3.68600 	2.87299
  -3.68550 	2.86553
  -3.68500 	2.85781
  -3.68450 	2.85000
  -3.68438 	2.85000
  -3.68375 	2.84034
  -3.68313 	2.83087
  -3.68250 	2.82162
  -3.68188 	2.81263
  -3.68125 	2.80393
  -3.68063 	2.79557
  -3.68000 	2.78758
  -3.67938 	2.78001
  -3.67750 	2.78000
  -3.67500 	2.75405
  -3.67250 	2.73453
  -3.67000 	2.72070
  -3.66750 	2.71177
  -3.66500 	2.70701
  -3.66250 	2.70563
  -3.66000 	2.70688
  -3.65833 	2.71000
  -3.65667 	2.71268
  -3.65500 	2.71523
  -3.65333 	2.71706
  -3.65167 	2.71754
  -3.65000 	2.71608
  -3.64833 	2.71206
  -3.64667 	2.70487
  -3.64500 	2.69390
  -3.64333 	2.67854
  -3.64167 	2.65818
  -3.64000 	2.63221
  -3.63833 	2.60003
  -3.63958 	2.60000
  -3.63917 	2.59092
  -3.63875 	2.58151
  -3.63833 	2.57187
  -3.63792 	2.56208
  -3.63750 	2.55224
  -3.63708 	2.54245
  -3.63667 	2.53280
  -3.63625 	2.52339
  -3.63583 	2.51430
  -3.63542 	2.50564
  -3.63500 	2.49751
  -3.63364 	2.49000
  -3.63227 	2.47006
  -3.63091 	2.45636
  -3.62954 	2.44754
  -3.62818 	2.44225
  -3.62682 	2.43913
  -3.62545 	2.43682
  -3.62409 	2.43397
  -3.62273 	2.42921
  -3.62136 	2.42120
  -3.62000 	2.40858
  -3.61900 	2.39000
  -3.61800 	2.37215
  -3.61700 	2.35197
  -3.61600 	2.33107
  -3.61500 	2.31107
  -3.61400 	2.29357
  -3.61300 	2.28018
  -3.61200 	2.27252
  -3.61100 	2.27219
  -3.61000 	2.28081
  -3.60900 	2.29998


# Datos nUm. 2
#    x'		       y'		  x	       y
  -4.090	     3.160	        3.160	     4.090
  -4.000	     3.170	        3.170	     4.000
  -3.900	     3.120	        3.120	     3.900
  -3.840	     3.080	        3.080	     3.840
  -3.800	     3.060	        3.060	     3.800
  -3.770	     3.030	        3.030	     3.770
  -3.750	     2.990	        2.990	     3.750
  -3.730	     2.960	        2.960	     3.730
  -3.710	     2.930	        2.930	     3.710
  -3.700	     2.920	        2.920	     3.700
  -3.690	     2.910	        2.910	     3.690
  -3.687	     2.880	        2.880	     3.687
  -3.685	     2.850	        2.850	     3.685
  -3.680	     2.780	        2.780	     3.680
  -3.660	     2.710	        2.710	     3.660
  -3.640	     2.600	        2.600	     3.640
  -3.635	     2.490	        2.490	     3.635
  -3.620	     2.390	        2.390	     3.620
  -3.610	     2.300	        2.300	     3.610
