
# Datos nUm. 1
#     x' 	 S(x')
  -4.93923 	1.84000
  -4.93846 	1.83266
  -4.93769 	1.82457
  -4.93692 	1.81585
  -4.93615 	1.80661
  -4.93539 	1.79698
  -4.93462 	1.78707
  -4.93385 	1.77701
  -4.93308 	1.76691
  -4.93231 	1.75689
  -4.93154 	1.74707
  -4.93077 	1.73758
  -4.93000 	1.72852
  -4.92923 	1.72002
  -4.92400 	1.72000
  -4.91800 	1.67490
  -4.91200 	1.65970
  -4.90600 	1.66304
  -4.90000 	1.67359
  -4.89600 	1.68000
  -4.89200 	1.67729
  -4.88800 	1.66983
  -4.88400 	1.65971
  -4.88000 	1.64906
  -4.87333 	1.64000
  -4.86667 	1.63184
  -4.86000 	1.62987
  -4.85333 	1.63000
  -4.85200 	1.63000
  -4.84400 	1.62850
  -4.83600 	1.62495
  -4.82800 	1.62015
  -4.82000 	1.61490
  -4.81200 	1.61000
  -4.81250 	1.61000
  -4.80500 	1.60631
  -4.79750 	1.60349
  -4.79000 	1.60143
  -4.78167 	1.60000
  -4.77333 	1.59904
  -4.76500 	1.59888
  -4.75667 	1.59971
  -4.74833 	1.60172
  -4.74000 	1.60508
  -4.73167 	1.61000
  -4.73333 	1.61000
  -4.72667 	1.61520
  -4.72000 	1.62178
  -4.71333 	1.63000
  -4.71500 	1.63000
  -4.71000 	1.63732
  -4.70500 	1.64538
  -4.70000 	1.65382
  -4.69500 	1.66232
  -4.69000 	1.67052
  -4.68500 	1.67810
  -4.68000 	1.68471
  -4.67600 	1.69000
  -4.67200 	1.69337
  -4.66800 	1.69738
  -4.66400 	1.70369
  -4.66000 	1.71401
  -4.65889 	1.73000
  -4.65778 	1.73568
  -4.65667 	1.74201
  -4.65556 	1.74904
  -4.65444 	1.75684
  -4.65333 	1.76550
  -4.65222 	1.77507
  -4.65111 	1.78563
  -4.65000 	1.79725
  -4.64889 	1.80999


# Datos nUm. 2
#    x'		       y'		  x	       y
  -4.940	     1.840	        1.840	     4.940
  -4.930	     1.720	        1.720	     4.930
  -4.900	     1.680	        1.680	     4.900
  -4.880	     1.640	        1.640	     4.880
  -4.860	     1.630	        1.630	     4.860
  -4.820	     1.610	        1.610	     4.820
  -4.790	     1.600	        1.600	     4.790
  -4.740	     1.610	        1.610	     4.740
  -4.720	     1.630	        1.630	     4.720
  -4.680	     1.690	        1.690	     4.680
  -4.660	     1.730	        1.730	     4.660
  -4.650	     1.810	        1.810	     4.650
