
# Datos nUm. 1
#     x' 	 S(x')
  -5.25222 	2.45000
  -5.24444 	2.43906
  -5.23667 	2.43079
  -5.22889 	2.42473
  -5.22111 	2.42044
  -5.21333 	2.41747
  -5.20556 	2.41539
  -5.19778 	2.41375
  -5.19000 	2.41210
  -5.18222 	2.41000
  -5.18200 	2.41000
  -5.17400 	2.40702
  -5.16600 	2.40332
  -5.15800 	2.39910
  -5.15000 	2.39459
  -5.14200 	2.39000
  -5.14167 	2.39000
  -5.13333 	2.38536
  -5.12500 	2.38103
  -5.11667 	2.37717
  -5.10833 	2.37394
  -5.10000 	2.37150
  -5.09167 	2.37000
  -5.09250 	2.37000
  -5.08500 	2.36959
  -5.07750 	2.37020
  -5.07000 	2.37196
  -5.06250 	2.37500
  -5.06333 	2.37500
  -5.05667 	2.37849
  -5.05000 	2.38089
  -5.04333 	2.38000
  -5.04250 	2.38000
  -5.03500 	2.37409
  -5.02750 	2.36876
  -5.02000 	2.37155
  -5.01833 	2.39000
  -5.01667 	2.39693
  -5.01500 	2.40475
  -5.01333 	2.41322
  -5.01167 	2.42209
  -5.01000 	2.43110
  -5.00833 	2.44000


# Datos nUm. 2
#    x'		       y'		  x	       y
  -5.260	     2.450	        2.450	     5.260
  -5.190	     2.410	        2.410	     5.190
  -5.150	     2.390	        2.390	     5.150
  -5.100	     2.370	        2.370	     5.100
  -5.070	     2.375	        2.375	     5.070
  -5.050	     2.380	        2.380	     5.050
  -5.020	     2.390	        2.390	     5.020
  -5.010	     2.440	        2.440	     5.010
