
# Datos nUm. 1
#     x' 	 S(x')
  -6.31933 	3.05000
  -6.31867 	3.05633
  -6.31800 	3.05889
  -6.31733 	3.05803
  -6.31667 	3.05410
  -6.31600 	3.04747
  -6.31533 	3.03848
  -6.31467 	3.02749
  -6.31400 	3.01485
  -6.31333 	3.00092
  -6.31267 	2.98605
  -6.31200 	2.97060
  -6.31133 	2.95491
  -6.31067 	2.93935
  -6.31000 	2.92427
  -6.30933 	2.91002
  -6.30778 	2.91000
  -6.30556 	2.87059
  -6.30333 	2.84271
  -6.30111 	2.82467
  -6.29889 	2.81481
  -6.29667 	2.81148
  -6.29445 	2.81299
  -6.29222 	2.81770
  -6.29000 	2.82392
  -6.28778 	2.83000
  -6.28556 	2.83000
  -6.28111 	2.83743
  -6.27667 	2.83856
  -6.27222 	2.83434
  -6.26778 	2.82572
  -6.26333 	2.81366
  -6.25889 	2.79911
  -6.25444 	2.78301
  -6.25000 	2.76632
  -6.24615 	2.75000
  -6.24231 	2.73678
  -6.23846 	2.72448
  -6.23462 	2.71303
  -6.23077 	2.70235
  -6.22692 	2.69238
  -6.22308 	2.68306
  -6.21923 	2.67431
  -6.21538 	2.66606
  -6.21154 	2.65825
  -6.20769 	2.65080
  -6.20385 	2.64366
  -6.20000 	2.63675
  -6.19615 	2.63000
  -6.19387 	2.63000
  -6.18774 	2.61946
  -6.18161 	2.60915
  -6.17548 	2.59908
  -6.16936 	2.58923
  -6.16323 	2.57959
  -6.15710 	2.57018
  -6.15097 	2.56097
  -6.14484 	2.55197
  -6.13871 	2.54317
  -6.13258 	2.53457
  -6.12645 	2.52615
  -6.12033 	2.51792
  -6.11420 	2.50987
  -6.10807 	2.50199
  -6.10194 	2.49429
  -6.09581 	2.48675
  -6.08968 	2.47937
  -6.08355 	2.47214
  -6.07742 	2.46506
  -6.07130 	2.45813
  -6.06517 	2.45134
  -6.05904 	2.44468
  -6.05291 	2.43816
  -6.04678 	2.43175
  -6.04065 	2.42547
  -6.03452 	2.41930
  -6.02839 	2.41324
  -6.02226 	2.40729
  -6.01614 	2.40144
  -6.01001 	2.39568
  -6.00388 	2.39001
  -6.00214 	2.39000
  -5.99429 	2.38286
  -5.98643 	2.37590
  -5.97857 	2.36916
  -5.97071 	2.36266
  -5.96286 	2.35646
  -5.95500 	2.35059
  -5.94714 	2.34508
  -5.93928 	2.33998
  -5.93143 	2.33532
  -5.92357 	2.33114
  -5.91571 	2.32748
  -5.90786 	2.32438
  -5.90000 	2.32187
  -5.89273 	2.32000
  -5.88545 	2.31889
  -5.87818 	2.31859
  -5.87091 	2.31933
  -5.86364 	2.32132
  -5.85636 	2.32482
  -5.84909 	2.33003
  -5.84182 	2.33720
  -5.83455 	2.34655
  -5.82727 	2.35831
  -5.82000 	2.37272
  -5.81273 	2.39000
  -5.81286 	2.39000
  -5.80571 	2.40948
  -5.79857 	2.42911
  -5.79143 	2.44605
  -5.78429 	2.45745
  -5.77714 	2.46047
  -5.77000 	2.45226
  -5.76867 	2.43000
  -5.76733 	2.42406
  -5.76600 	2.41756
  -5.76467 	2.41050
  -5.76333 	2.40291
  -5.76200 	2.39482
  -5.76067 	2.38623
  -5.75933 	2.37716
  -5.75800 	2.36765
  -5.75667 	2.35770
  -5.75533 	2.34734
  -5.75400 	2.33659
  -5.75267 	2.32546
  -5.75133 	2.31397
  -5.75000 	2.30215
  -5.74867 	2.29001
  -5.74906 	2.29000
  -5.74813 	2.28129
  -5.74719 	2.27243
  -5.74625 	2.26344
  -5.74531 	2.25432
  -5.74438 	2.24507
  -5.74344 	2.23570
  -5.74250 	2.22621
  -5.74156 	2.21662
  -5.74063 	2.20691
  -5.73969 	2.19711
  -5.73875 	2.18721
  -5.73781 	2.17722
  -5.73688 	2.16715
  -5.73594 	2.15699
  -5.73500 	2.14676
  -5.73406 	2.13646
  -5.73313 	2.12610
  -5.73219 	2.11567
  -5.73125 	2.10519
  -5.73031 	2.09466
  -5.72938 	2.08409
  -5.72844 	2.07348
  -5.72750 	2.06283
  -5.72656 	2.05216
  -5.72563 	2.04146
  -5.72469 	2.03074
  -5.72375 	2.02001
  -5.72281 	2.00927
  -5.72188 	1.99852
  -5.72094 	1.98778
  -5.72000 	1.97704
  -5.71906 	1.96632
  -5.71813 	1.95561
  -5.71719 	1.94493
  -5.71625 	1.93427
  -5.71531 	1.92365
  -5.71438 	1.91306
  -5.71344 	1.90251
  -5.71250 	1.89201
  -5.71156 	1.88157
  -5.71063 	1.87118
  -5.70969 	1.86086
  -5.70875 	1.85060
  -5.70781 	1.84042
  -5.70688 	1.83032
  -5.70594 	1.82029
  -5.70500 	1.81036
  -5.70406 	1.80052
  -5.70313 	1.79078
  -5.70219 	1.78115
  -5.70125 	1.77162
  -5.70031 	1.76221
  -5.69938 	1.75291
  -5.69844 	1.74375
  -5.69750 	1.73471
  -5.69656 	1.72580
  -5.69563 	1.71704
  -5.69469 	1.70841
  -5.69375 	1.69994
  -5.69281 	1.69163
  -5.69188 	1.68347
  -5.69094 	1.67548
  -5.69000 	1.66766
  -5.68906 	1.66002
  -5.68760 	1.66000
  -5.68520 	1.64124
  -5.68280 	1.62362
  -5.68040 	1.60709
  -5.67800 	1.59160
  -5.67560 	1.57709
  -5.67320 	1.56353
  -5.67080 	1.55085
  -5.66840 	1.53903
  -5.66600 	1.52799
  -5.66360 	1.51771
  -5.66120 	1.50812
  -5.65880 	1.49918
  -5.65640 	1.49084
  -5.65400 	1.48306
  -5.65160 	1.47578
  -5.64920 	1.46895
  -5.64680 	1.46253
  -5.64440 	1.45647
  -5.64200 	1.45072
  -5.63960 	1.44523
  -5.63720 	1.43996
  -5.63480 	1.43484
  -5.63240 	1.42985
  -5.63000 	1.42492
  -5.62760 	1.42000
  -5.62583 	1.42000
  -5.62167 	1.41142
  -5.61750 	1.40278
  -5.61333 	1.39411
  -5.60917 	1.38544
  -5.60500 	1.37681
  -5.60083 	1.36824
  -5.59667 	1.35978
  -5.59250 	1.35144
  -5.58833 	1.34326
  -5.58417 	1.33527
  -5.58000 	1.32751
  -5.57583 	1.32000
  -5.57375 	1.32000
  -5.56750 	1.30926
  -5.56125 	1.29913
  -5.55500 	1.28957
  -5.54875 	1.28054
  -5.54250 	1.27200
  -5.53625 	1.26392
  -5.53000 	1.25626
  -5.52375 	1.24899
  -5.51750 	1.24205
  -5.51125 	1.23542
  -5.50500 	1.22907
  -5.49875 	1.22294
  -5.49250 	1.21701
  -5.48625 	1.21123
  -5.48000 	1.20558
  -5.47375 	1.20000
  -5.47222 	1.20000
  -5.46444 	1.19313
  -5.45667 	1.18633
  -5.44889 	1.17959
  -5.44111 	1.17292
  -5.43333 	1.16632
  -5.42556 	1.15978
  -5.41778 	1.15330
  -5.41000 	1.14689
  -5.40222 	1.14054
  -5.39445 	1.13425
  -5.38667 	1.12802
  -5.37889 	1.12185
  -5.37111 	1.11574
  -5.36333 	1.10969
  -5.35556 	1.10370
  -5.34778 	1.09776
  -5.34000 	1.09188
  -5.33222 	1.08606
  -5.32445 	1.08029
  -5.31667 	1.07458
  -5.30889 	1.06892
  -5.30111 	1.06331
  -5.29334 	1.05776
  -5.28556 	1.05226
  -5.27778 	1.04680
  -5.27000 	1.04140
  -5.26222 	1.03605
  -5.25445 	1.03075
  -5.24667 	1.02549
  -5.23889 	1.02029
  -5.23111 	1.01513
  -5.22334 	1.01001
  -5.21556 	1.00494
  -5.20778 	0.99992
  -5.20000 	0.99494
  -5.19223 	0.99000
  -5.19080 	0.99000
  -5.18160 	0.98422
  -5.17240 	0.97849
  -5.16320 	0.97283
  -5.15400 	0.96724
  -5.14480 	0.96171
  -5.13560 	0.95625
  -5.12640 	0.95085
  -5.11720 	0.94553
  -5.10800 	0.94029
  -5.09880 	0.93512
  -5.08960 	0.93002
  -5.08040 	0.92501
  -5.07120 	0.92007
  -5.06200 	0.91522
  -5.05280 	0.91045
  -5.04360 	0.90577
  -5.03440 	0.90118
  -5.02520 	0.89667
  -5.01600 	0.89225
  -5.00680 	0.88793
  -4.99760 	0.88370
  -4.98840 	0.87957
  -4.97920 	0.87554
  -4.97000 	0.87160
  -4.96080 	0.86777
  -4.95160 	0.86404
  -4.94240 	0.86041
  -4.93320 	0.85689
