
# Datos nUm. 1
#     x' 	 S(x')
  -1.65042 	2.25000
  -1.64083 	2.24918
  -1.63125 	2.24861
  -1.62167 	2.24829
  -1.61208 	2.24819
  -1.60250 	2.24831
  -1.59292 	2.24862
  -1.58333 	2.24911
  -1.57375 	2.24977
  -1.56417 	2.25057
  -1.55458 	2.25151
  -1.54500 	2.25257
  -1.53542 	2.25373
  -1.52583 	2.25498
  -1.51625 	2.25630
  -1.50667 	2.25767
  -1.49708 	2.25909
  -1.48750 	2.26053
  -1.47792 	2.26198
  -1.46833 	2.26342
  -1.45875 	2.26484
  -1.44917 	2.26623
  -1.43958 	2.26756
  -1.43000 	2.26882


# Datos nUm. 2
#    x'		       y'		  x	       y
  -1.660	     2.250	        2.250	     1.660
  -1.430	     2.270	        2.270	     1.430
