
# Datos nUm. 1
#     x' 	 S(x')
  -4.93667 	1.84000
  -4.93333 	1.85678
  -4.93000 	1.87212
  -4.92667 	1.88611
  -4.92333 	1.89883
  -4.92000 	1.91036
  -4.91667 	1.92081
  -4.91333 	1.93024
  -4.91000 	1.93876
  -4.90666 	1.94645
  -4.90333 	1.95339
  -4.90000 	1.95968
  -4.89666 	1.96539
  -4.89333 	1.97063
  -4.89000 	1.97547
  -4.88167 	1.98000
  -4.87333 	1.99035
  -4.86500 	1.99943
  -4.85667 	2.00731
  -4.84833 	2.01410
  -4.84000 	2.01989
  -4.83167 	2.02476
  -4.82333 	2.02882
  -4.81500 	2.03214
  -4.80667 	2.03483
  -4.79833 	2.03698
  -4.79000 	2.03867
  -4.78167 	2.04000
  -4.78143 	2.04000
  -4.77286 	2.04104
  -4.76429 	2.04159
  -4.75571 	2.04146
  -4.74714 	2.04044
  -4.73857 	2.03832
  -4.73000 	2.03491
  -4.72250 	2.03000
  -4.71500 	2.02450
  -4.70750 	2.01869
  -4.70000 	2.01352
  -4.69333 	2.01000
  -4.68667 	2.00807
  -4.68000 	2.00310
  -4.67333 	1.99000
  -4.67818 	1.99000
  -4.67636 	1.98437
  -4.67455 	1.97784
  -4.67273 	1.97046
  -4.67091 	1.96232
  -4.66909 	1.95348
  -4.66727 	1.94403
  -4.66545 	1.93403
  -4.66364 	1.92355
  -4.66182 	1.91267
  -4.66000 	1.90146
  -4.65818 	1.89000
  -4.65889 	1.89000
  -4.65778 	1.88288
  -4.65667 	1.87558
  -4.65556 	1.86798
  -4.65444 	1.85999
  -4.65333 	1.85147
  -4.65222 	1.84233
  -4.65111 	1.83244
  -4.65000 	1.82171
  -4.64889 	1.81001


# Datos nUm. 2
#    x'		       y'		  x	       y
  -4.940	     1.840	        1.840	     4.940
  -4.890	     1.980	        1.980	     4.890
  -4.790	     2.040	        2.040	     4.790
  -4.730	     2.030	        2.030	     4.730
  -4.700	     2.010	        2.010	     4.700
  -4.680	     1.990	        1.990	     4.680
  -4.660	     1.890	        1.890	     4.660
  -4.650	     1.810	        1.810	     4.650
