
# Datos nUm. 1
#     x' 	 S(x')
  -0.53308 	3.14000
  -0.52615 	3.14690
  -0.51923 	3.15375
  -0.51231 	3.16052
  -0.50538 	3.16719
  -0.49846 	3.17376
  -0.49154 	3.18019
  -0.48462 	3.18647
  -0.47769 	3.19259
  -0.47077 	3.19852
  -0.46385 	3.20424
  -0.45692 	3.20974
  -0.45000 	3.21500
  -0.44308 	3.22000
  -0.44077 	3.22000
  -0.43154 	3.22624
  -0.42231 	3.23200
  -0.41308 	3.23730
  -0.40385 	3.24218
  -0.39462 	3.24664
  -0.38538 	3.25071
  -0.37615 	3.25441
  -0.36692 	3.25776
  -0.35769 	3.26078
  -0.34846 	3.26349
  -0.33923 	3.26592
  -0.33000 	3.26808
  -0.32077 	3.27000
  -0.32071 	3.27000
  -0.31143 	3.27170
  -0.30214 	3.27320
  -0.29286 	3.27449
  -0.28357 	3.27561
  -0.27429 	3.27656
  -0.26500 	3.27735
  -0.25571 	3.27801
  -0.24643 	3.27855
  -0.23714 	3.27898
  -0.22786 	3.27931
  -0.21857 	3.27956
  -0.20929 	3.27975
  -0.20000 	3.27989


# Datos nUm. 2
#    x'		       y'		  x	       y
  -0.540	     3.140	        3.140	     0.540
  -0.450	     3.220	        3.220	     0.450
  -0.330	     3.270	        3.270	     0.330
  -0.200	     3.280	        3.280	     0.200
