
# Datos nUm. 1
#     x' 	 S(x')
  -1.13029 	2.64000
  -1.12059 	2.64152
  -1.11088 	2.64308
  -1.10118 	2.64469
  -1.09147 	2.64633
  -1.08176 	2.64801
  -1.07206 	2.64973
  -1.06235 	2.65147
  -1.05265 	2.65324
  -1.04294 	2.65504
  -1.03324 	2.65686
  -1.02353 	2.65870
  -1.01382 	2.66056
  -1.00412 	2.66243
  -0.99441 	2.66431
  -0.98471 	2.66620
  -0.97500 	2.66810
  -0.96529 	2.67000
  -0.95559 	2.67190
  -0.94588 	2.67380
  -0.93618 	2.67569
  -0.92647 	2.67757
  -0.91676 	2.67944
  -0.90706 	2.68130
  -0.89735 	2.68314
  -0.88765 	2.68496
  -0.87794 	2.68676
  -0.86823 	2.68853
  -0.85853 	2.69028
  -0.84882 	2.69199
  -0.83912 	2.69367
  -0.82941 	2.69531
  -0.81971 	2.69692
  -0.81000 	2.69848


# Datos nUm. 2
#    x'		       y'		  x	       y
  -1.140	     2.640	        2.640	     1.140
  -0.810	     2.700	        2.700	     0.810
