
# Datos nUm. 1
#     x' 	 S(x')
  -6.31400 	3.05000
  -6.30800 	3.10048
  -6.30200 	3.11265
  -6.29600 	3.10258
  -6.29000 	3.08634
  -6.28400 	3.08000
  -6.28750 	3.08000
  -6.28500 	3.08371
  -6.28250 	3.09074
  -6.28000 	3.09990
  -6.27429 	3.11000
  -6.26857 	3.13235
  -6.26286 	3.15196
  -6.25714 	3.16745
  -6.25143 	3.17740
  -6.24571 	3.18041
  -6.24000 	3.17508
  -6.23600 	3.16000
  -6.23200 	3.14441
  -6.22800 	3.13199
  -6.22400 	3.13137
  -6.22000 	3.15117
  -6.21952 	3.20000
  -6.21905 	3.20815
  -6.21857 	3.21677
  -6.21809 	3.22583
  -6.21762 	3.23525
  -6.21714 	3.24500
  -6.21667 	3.25500
  -6.21619 	3.26522
  -6.21571 	3.27560
  -6.21524 	3.28607
  -6.21476 	3.29659
  -6.21428 	3.30711
  -6.21381 	3.31757
  -6.21333 	3.32791
  -6.21285 	3.33809
  -6.21238 	3.34804
  -6.21190 	3.35772
  -6.21143 	3.36706
  -6.21095 	3.37602
  -6.21047 	3.38454
  -6.21000 	3.39257
  -6.20889 	3.40000
  -6.20778 	3.41524
  -6.20667 	3.42771
  -6.20556 	3.43793
  -6.20444 	3.44639
  -6.20333 	3.45360
  -6.20222 	3.46006
  -6.20111 	3.46628
  -6.20000 	3.47275
  -6.19889 	3.47999
  -6.19917 	3.48000
  -6.19833 	3.48619
  -6.19750 	3.49306
  -6.19667 	3.50056
  -6.19583 	3.50865
  -6.19500 	3.51730
  -6.19417 	3.52646
  -6.19333 	3.53610
  -6.19250 	3.54617
  -6.19166 	3.55664
  -6.19083 	3.56747
  -6.19000 	3.57861
  -6.18933 	3.59000
  -6.18867 	3.59931
  -6.18800 	3.60873
  -6.18733 	3.61826
  -6.18667 	3.62786
  -6.18600 	3.63749
  -6.18533 	3.64714
  -6.18467 	3.65678
  -6.18400 	3.66637
  -6.18333 	3.67589
  -6.18267 	3.68531
  -6.18200 	3.69461
  -6.18133 	3.70376
  -6.18067 	3.71272
  -6.18000 	3.72147
  -6.17933 	3.72999
  -6.17722 	3.73000
  -6.17444 	3.76270
  -6.17167 	3.79110
  -6.16889 	3.81548
  -6.16611 	3.83615
  -6.16333 	3.85339
  -6.16056 	3.86751
  -6.15778 	3.87879
  -6.15500 	3.88754
  -6.15222 	3.89403
  -6.14945 	3.89858
  -6.14667 	3.90147
  -6.14389 	3.90300
  -6.14111 	3.90345
  -6.13834 	3.90313
  -6.13556 	3.90234
  -6.13278 	3.90135
  -6.13000 	3.90047
  -6.12723 	3.90000
  -6.12250 	3.90000
  -6.11500 	3.90178
  -6.10750 	3.90687
  -6.10000 	3.91353
  -6.09200 	3.92000
  -6.08400 	3.92519
  -6.07600 	3.92898
  -6.06800 	3.93216
  -6.06000 	3.93557
  -6.05200 	3.94000
  -6.05333 	3.94000
