
# Datos nUm. 1
#     x' 	 S(x')
  -0.41043 	2.96000
  -0.40087 	2.96370
  -0.39130 	2.96716
  -0.38174 	2.97038
  -0.37217 	2.97338
  -0.36261 	2.97616
  -0.35304 	2.97873
  -0.34348 	2.98111
  -0.33391 	2.98330
  -0.32435 	2.98531
  -0.31478 	2.98716
  -0.30522 	2.98884
  -0.29565 	2.99037
  -0.28609 	2.99177
  -0.27652 	2.99303
  -0.26696 	2.99416
  -0.25739 	2.99519
  -0.24783 	2.99611
  -0.23826 	2.99694
  -0.22870 	2.99768
  -0.21913 	2.99835
  -0.20957 	2.99896
  -0.20000 	2.99950
  -0.19043 	3.00000


# Datos nUm. 2
#    x'		       y'		  x	       y
  -0.420	     2.960	        2.960	     0.420
  -0.200	     3.000	        3.000	     0.200
