
# Datos nUm. 1
#     x' 	 S(x')
  -4.15077 	1.58000
  -4.14154 	1.58118
  -4.13231 	1.58281
  -4.12308 	1.58482
  -4.11385 	1.58715
  -4.10462 	1.58972
  -4.09539 	1.59244
  -4.08615 	1.59526
  -4.07692 	1.59810
  -4.06769 	1.60088
  -4.05846 	1.60354
  -4.04923 	1.60599
  -4.04000 	1.60817
  -4.03077 	1.61000
  -4.03118 	1.61000
  -4.02235 	1.61139
  -4.01353 	1.61251
  -4.00471 	1.61350
  -3.99588 	1.61446
  -3.98706 	1.61552
  -3.97824 	1.61680
  -3.96941 	1.61842
  -3.96059 	1.62050
  -3.95176 	1.62317
  -3.94294 	1.62654
  -3.93412 	1.63074
  -3.92529 	1.63588
  -3.91647 	1.64208
  -3.90765 	1.64948
  -3.89882 	1.65818
  -3.89000 	1.66832
  -3.88538 	1.68000
  -3.88077 	1.68676
  -3.87615 	1.69394
  -3.87154 	1.70151
  -3.86692 	1.70943
  -3.86231 	1.71766
  -3.85769 	1.72617
  -3.85308 	1.73493
  -3.84846 	1.74389
  -3.84385 	1.75302
  -3.83923 	1.76229
  -3.83462 	1.77166
  -3.83000 	1.78110
  -3.82539 	1.79056
  -3.82077 	1.80002
  -3.81616 	1.80944
  -3.81154 	1.81877
  -3.80692 	1.82800
  -3.80231 	1.83707
  -3.79769 	1.84596
  -3.79308 	1.85463
  -3.78846 	1.86304
  -3.78385 	1.87116
  -3.77923 	1.87895
  -3.77462 	1.88638
  -3.77000 	1.89340
  -3.76539 	1.90000
  -3.76455 	1.90000
  -3.75909 	1.90723
  -3.75364 	1.91401
  -3.74818 	1.92056
  -3.74273 	1.92709
  -3.73727 	1.93380
  -3.73182 	1.94093
  -3.72636 	1.94866
  -3.72091 	1.95723
  -3.71545 	1.96683
  -3.71000 	1.97768
  -3.70455 	1.99000
  -3.70600 	1.99000
  -3.70200 	1.99992
  -3.69800 	2.00980
  -3.69400 	2.01873
  -3.69000 	2.02578
  -3.68600 	2.03000
  -3.68600 	2.03000
  -3.68200 	2.03123
  -3.67800 	2.03227
  -3.67400 	2.03671
  -3.67000 	2.04809
  -3.66600 	2.07000
  -3.66900 	2.07000
  -3.66800 	2.07750
  -3.66700 	2.08574
  -3.66600 	2.09455
  -3.66500 	2.10380
  -3.66400 	2.11333
  -3.66300 	2.12300
  -3.66200 	2.13264
  -3.66100 	2.14213
  -3.66000 	2.15129
  -3.65900 	2.15999
  -3.65600 	2.16000
  -3.65200 	2.18901
  -3.64800 	2.20966
  -3.64400 	2.22341
  -3.64000 	2.23174
  -3.63600 	2.23611
  -3.63200 	2.23800
  -3.62800 	2.23886
  -3.62400 	2.24017
  -3.62000 	2.24339
  -3.61600 	2.25000
  -3.61833 	2.25000
  -3.61667 	2.25414
  -3.61500 	2.25948
  -3.61333 	2.26638
  -3.61167 	2.27519
  -3.61000 	2.28628
  -3.60833 	2.29999


# Datos nUm. 2
#    x'		       y'		  x	       y
  -4.160	     1.580	        1.580	     4.160
  -4.040	     1.610	        1.610	     4.040
  -3.890	     1.680	        1.680	     3.890
  -3.770	     1.900	        1.900	     3.770
  -3.710	     1.990	        1.990	     3.710
  -3.690	     2.030	        2.030	     3.690
  -3.670	     2.070	        2.070	     3.670
  -3.660	     2.160	        2.160	     3.660
  -3.620	     2.250	        2.250	     3.620
  -3.610	     2.300	        2.300	     3.610
